agency_name,parent_agency_name,description
"Grain Inspection, Packers and Stockyards Administration",Agriculture Department,"The Grain Inspection, Packers, and Stockyards Administration (GIPSA) was established in 1994 to facilitate the marketing of livestock, poultry, meat, cereals, oilseeds, and related agricultural products, and to promote fair and competitive trading practices for the overall benefit of consumers and American agriculture. The Agency's mission is carried out in two different segments of American agriculture. The Federal Grain Inspection Service provides the U.S. grain market with Federal quality standards and a uniform system for applying them. The Packers and Stockyards Programs (P&SP) enforces the Packers and Stockyards Act of 1921 (P&S Act), 7 U.S.C. 181 et seq., to promote fair and competitive marketing environments for the livestock, meat, and poultry industries. 
GIPSA also certifies State central filing systems for notification of liens against farm products. GIPSA is responsible for establishing official U.S. standards for grain and other assigned commodities, and for administering a nationwide official inspection and weighing system."
Grants and Program Systems Office,Agriculture Department,
Harry S. Truman Scholarship Foundation,,"The Harry S. Truman Scholarship Foundation - the federal memorial to our thirty-third President - awards merit-based scholarships to college students who plan to pursue careers in government or elsewhere in public service. Truman Scholars receive up to $30,000 for graduate or professional school, participate in leadership development activities, and have special opportunities for internships and employment with the federal government.
The mission of the Truman Scholarship Foundation is to find and recognize college juniors with exceptional leadership potential who are committed to careers in government, the nonprofit or advocacy sectors, education or elsewhere in the public service; and to provide them with financial support for graduate study, leadership training, and fellowship with other students who are committed to making a difference through public service."
Health and Human Services Department,Health and Human Services Department,"The Department of Health and Human Services is the Cabinet-level department of the Federal executive branch most involved with the Nation's human concerns. In one way or another, it touches the lives of more Americans than any other Federal agency. It is a department of people serving people, from newborn infants to persons requiring health services to our most elderly citizens.
The Department of Health and Human Services (HHS) was created as the Department of Health, Education, and Welfare on April 11, 1953 (5 U.S.C. app.)."
Health and Human Services Department,Health and Human Services Department,"The Department of Health and Human Services is the Cabinet-level department of the Federal executive branch most involved with the Nation's human concerns. In one way or another, it touches the lives of more Americans than any other Federal agency. It is a department of people serving people, from newborn infants to persons requiring health services to our most elderly citizens.
The Department of Health and Human Services (HHS) was created as the Department of Health, Education, and Welfare on April 11, 1953 (5 U.S.C. app.)."
Health and Human Services Department,Health and Human Services Department,"The Department of Health and Human Services is the Cabinet-level department of the Federal executive branch most involved with the Nation's human concerns. In one way or another, it touches the lives of more Americans than any other Federal agency. It is a department of people serving people, from newborn infants to persons requiring health services to our most elderly citizens.
The Department of Health and Human Services (HHS) was created as the Department of Health, Education, and Welfare on April 11, 1953 (5 U.S.C. app.)."
Health and Human Services Department,Health and Human Services Department,"The Department of Health and Human Services is the Cabinet-level department of the Federal executive branch most involved with the Nation's human concerns. In one way or another, it touches the lives of more Americans than any other Federal agency. It is a department of people serving people, from newborn infants to persons requiring health services to our most elderly citizens."
Health and Human Services Department,Health and Human Services Department,"The Department of Health and Human Services (HHS) was created as the Department of Health, Education, and Welfare on April 11, 1953 (5 U.S.C. app.)."
Health Resources and Services Administration,Health and Human Services Department,"The Health Resources and Services Administration (HRSA) works to ensure the delivery of primary health care in thousands of medically underserved communities. More than 7,000 HRSA-supported community health center sites provide primary and preventive health care to 17 million people, regardless of their ability to pay. In an average year, HRSA awards 7,200 grants to 3,000 public and private organizations. Together, these grantees provide safety-net health care to 24 million people. HRSA programs seek to improve the diversity of the U.S. health care workforce and encourage the placement of health professionals in communities where health care is scarce. HRSA oversees a national organ and tissue transplantation system, manages vaccine injury compensation programs, and maintains a health care malpractice database. HRSA also provides support for clinics that provide life-sustaining care and medications to 50 percent of the U.S. population diagnosed with HIV/AIDS, essential services for mothers and children, and systems of care for rural areas."
"Hearings and Appeals Office, Energy Department",Energy Department,
"Hearings and Appeals Office, Interior Department",Interior Department,
"Historic Preservation, Advisory Council",,"The Advisory Council on Historic Preservation (ACHP) is an independent federal agency that promotes the preservation, enhancement, and productive use of our nation's historic resources, and advises the President and Congress on national historic preservation policy. 
The goal of the National Historic Preservation Act (NHPA), which established the ACHP in 1966, is to have federal agencies act as responsible stewards of our nation's resources when their actions affect historic properties. The ACHP is the only entity with the legal responsibility to encourage federal agencies to factor historic preservation into federal project requirements. "
Holocaust Memorial Council,,
Homeland Security Department,Homeland Security Department,"The Department of Homeland Security leads the unified national effort to secure America. It will prevent and deter terrorist attacks and protect against and respond to threats and hazards to the Nation. The Department will ensure safe and secure borders, welcome lawful immigrants and visitors, and promote the free-flow of commerce.
The Department of Homeland Security (DHS) was established by the Homeland Security Act of 2002, (6 U.S.C. 101 note). The Department came into existence on January 24, 2003, and is administered under the supervision and direction of the Secretary of Homeland Security."
Homeland Security Department,Homeland Security Department,"The Department of Homeland Security leads the unified national effort to secure America. It will prevent and deter terrorist attacks and protect against and respond to threats and hazards to the Nation. The Department will ensure safe and secure borders, welcome lawful immigrants and visitors, and promote the free-flow of commerce.
The Department of Homeland Security (DHS) was established by the Homeland Security Act of 2002, (6 U.S.C. 101 note). The Department came into existence on January 24, 2003, and is administered under the supervision and direction of the Secretary of Homeland Security."
Homeland Security Department,Homeland Security Department,"The Department of Homeland Security leads the unified national effort to secure America. It will prevent and deter terrorist attacks and protect against and respond to threats and hazards to the Nation. The Department will ensure safe and secure borders, welcome lawful immigrants and visitors, and promote the free-flow of commerce.
The Department of Homeland Security (DHS) was established by the Homeland Security Act of 2002, (6 U.S.C. 101 note). The Department came into existence on January 24, 2003, and is administered under the supervision and direction of the Secretary of Homeland Security."
Homeland Security Department,Homeland Security Department,"The Department of Homeland Security leads the unified national effort to secure America. It will prevent and deter terrorist attacks and protect against and respond to threats and hazards to the Nation. The Department will ensure safe and secure borders, welcome lawful immigrants and visitors, and promote the free-flow of commerce.
The Department of Homeland Security (DHS) was established by the Homeland Security Act of 2002, (6 U.S.C. 101 note). The Department came into existence on January 24, 2003, and is administered under the supervision and direction of the Secretary of Homeland Security."
Homeland Security Department,Homeland Security Department,
Housing and Urban Development Department,Housing and Urban Development Department,"The Department of Housing and Urban Development is the principal Federal agency responsible for programs concerned with the Nation's housing needs, fair housing opportunities, and improvement and development of the Nation's communities.
The Department of Housing and Urban Development (HUD) was established in 1965 by the Department of Housing and Urban Development Act (42 U.S.C. 3532-3537)."
Housing and Urban Development Department,Housing and Urban Development Department,"The Department of Housing and Urban Development is the principal Federal agency responsible for programs concerned with the Nation's housing needs, fair housing opportunities, and improvement and development of the Nation's communities.
The Department of Housing and Urban Development (HUD) was established in 1965 by the Department of Housing and Urban Development Act (42 U.S.C. 3532-3537)."
Housing and Urban Development Department,Housing and Urban Development Department,"The Department of Housing and Urban Development is the principal Federal agency responsible for programs concerned with the Nation's housing needs, fair housing opportunities, and improvement and development of the Nation's communities.
The Department of Housing and Urban Development (HUD) was established in 1965 by the Department of Housing and Urban Development Act (42 U.S.C. 3532-3537)."
Housing and Urban Development Department,Housing and Urban Development Department,"The Department of Housing and Urban Development is the principal Federal agency responsible for programs concerned with the Nation's housing needs, fair housing opportunities, and improvement and development of the Nation's communities.
The Department of Housing and Urban Development (HUD) was established in 1965 by the Department of Housing and Urban Development Act (42 U.S.C. 3532-3537)."
Human Development Services Office,Health and Human Services Department,See Administration for Children and Families
Human Nutrition Information Service,Agriculture Department,
"Human Radiation Experiments, Advisory Committee",,
Immigration and Naturalization Service,Justice Department,
Independent Counsel Office,,
Indian Affairs Bureau,Interior Department,"The Bureau of Indian Affairs (BIA) was created as part of the War Department in 1824 and transferred to the Department of the Interior when the latter was established in 1849. The mission of BIA is to fulfill its trust responsibilities and promote self-determination on behalf of federally recognized tribal governments, American Indians, and Alaska Natives. BIA provides services directly or through contracts, grants, or compacts to approximately 1.9 million American Indians and Alaska Natives, members of 562 federally recognized Indian tribes in the 48 contiguous United States and Alaska."
Indian Arts and Crafts Board,,
Indian Education National Advisory Council,,
Indian Health Service,Health and Human Services Department,"The Indian Health Service, as part of the Public Health Service, provides a comprehensive health services delivery system for American Indians and Alaska Natives. It assists Native American tribes in developing their health programs; facilitates and assists tribes in coordinating health planning, obtaining and utilizing health resources available through Federal, State, and local programs, operating comprehensive health programs, and evaluating health programs; and provides comprehensive health care services including hospital and ambulatory medical care, preventive and rehabilitative services, and development of community sanitation facilities."
Indian Trust Transition Office,Interior Department,
Industrial Economics Bureau,Commerce Department,
"Industrial Economics Office, Treasury Department",Treasury Department,
Industry and Security Bureau,Commerce Department,"The mission of the Bureau of Industry and Security (BIS) is to advance U.S. national security, foreign policy, and economic objectives by ensuring an effective export control and treaty compliance system and promoting continued U.S. strategic technology leadership. BIS activities include regulating the export of sensitive goods and technologies in an effective and efficient manner; enforcing export control, antiboycott, and public safety laws; cooperating with and assisting other countries on export control and strategic trade issues; assisting U.S. industry to comply with international arms control agreements; and monitoring the viability of the U.S. defense industrial base and seeking to ensure that it is capable of satisfying U.S. national and homeland security needs."
Information Resources Management Office,Agriculture Department,
Information Security Oversight Office,National Archives and Records Administration,
"Inspector General Office, Agriculture Department",Agriculture Department,"The Office of Inspector General was legislatively established in 1978 with the enactment of the Inspector General Act (Public Law 95-452). The act requires the Inspector General to independently and objectively perform audits and investigations of the Department's programs and operations; work with the Department's management team in activities that promote economy, efficiency, and effectiveness or that prevent and detect fraud and abuse in programs and operations, both within USDA and in non-Federal entities that receive USDA assistance. The Office also reports OIG activities to the Secretary and the U.S. Congress semiannually as of march 31 and September 30 each year. "
"Inspector General Office, Health and Human Services Department",Health and Human Services Department,"The mission of the Office of Inspector General (OIG), as mandated by Public Law 95-452 (as amended), is to protect the integrity of Department of Health and Human Services (HHS) programs, as well as the health and welfare of the beneficiaries of those programs.
OIG has a responsibility to report both to the Secretary and to the Congress program and management problems and recommendations to correct them. OIG's duties are carried out through a nationwide network of audits, investigations, evaluations and other mission related functions performed by OIG components."
Institute of American Indian and Alaska Native Culture and Arts Development,,"The Overseas Private Investment Corporation is a self-sustaining Federal agency whose purpose is to promote economic growth in developing countries and emerging markets by encouraging U.S. private investment in those nations.
The Overseas Private Investment Corporation (OPIC) was established in 1971 as an independent agency by the Foreign Affairs Reform and Restructuring Act (112 Stat. 2681-790). OPIC helps U.S. businesses invest overseas, fosters economic development in new and emerging markets, complements the private sector in managing risks associated with foreign direct investment, and supports U.S. foreign policy. OPIC charges market-based fees for its products, and it operates on a self-sustaining basis at no net cost to taxpayers.
OPIC helps U.S. businesses compete in emerging markets when private sector support is not available. OPIC offers up to $250 million in long-term financing and/or political risk insurance to U.S. companies investing in over 150 emerging markets and developing countries. Backed by the full faith and credit of the U.S. Government, OPIC advocates for U.S. investment, offers experience in risk management, and draws on an outstanding record of success.
OPIC mobilizes America's private sector to advance U.S. foreign policy and development initiatives. Projects supported by OPIC expand economic development, which encourages political stability and free market reforms. Over the agency's 35 year history, OPIC has supported $177 billion worth of investments that have helped developing countries to generate over $13 billion in host government revenues and create over 800,000 host country jobs. OPIC projects have also generated $71 billion in U.S. exports and supported more than 271,000 American jobs. OPIC promotes U.S. best practices by requiring projects to adhere to international standards on the environment, worker rights, and human rights."
Interagency Coordinating Council,,
Interagency Environmental Technology Export Group,,
Interagency Floodplain Management Review Committee,,
Inter-American Foundation,,
Inter-American Foundation,,"The Inter-American Foundation is an independent Federal agency that supports social and economic development in Latin America and the Caribbean. It makes grants primarily to private, local, and community organizations that carry out self-help projects.
The Inter-American Foundation (IAF) was created in 1969 (22 U.S.C. 290f) as an experimental U.S. foreign assistance program. IAF is governed by a nine-person Board of Directors appointed by the President with the advice and consent of the Senate. Six members are drawn from the private sector and three from the Federal Government. The Board of Directors appoints the President of IAF."
Intergovernmental and Institutional Relations Office (DOE),Energy Department,"The Inter-American Foundation is an independent Federal agency that supports social and economic development in Latin America and the Caribbean. It makes grants primarily to private, local, and community organizations that carry out self-help projects.
The Inter-American Foundation (IAF) was created in 1969 (22 U.S.C. 290f) as an experimental U.S. foreign assistance program. IAF is governed by a nine-person Board of Directors appointed by the President with the advice and consent of the Senate. Six members are drawn from the private sector and three from the Federal Government. The Board of Directors appoints the President of IAF."
Intergovernmental Relations Advisory Commission,,
Interior Department,Interior Department,"The Department of the Interior protects and provides access to our Nation's natural and cultural heritage and honors our trust responsibilities to tribes and our commitments to island communities. The Department of the Interior was created by act of March 3, 1849 (43 U.S.C. 1451), which transferred to it the General Land Office, the Office of Indian Affairs, the Pension Office, and the Patent Office. It was reorganized by Reorganization Plan No. 3 of 1950, as amended (5 U.S.C. app.).
    The Department manages the Nation's public lands and minerals, national parks, national wildlife refuges, and western water resources and upholds Federal trust responsibilities to Indian tribes and Alaskan natives. It is also responsible for migratory wildlife conservation; historic preservation; endangered species conservation; surface-mined lands protection and restoration; mapping geological, hydrological, and biological science for the Nation; and for financial and technical assistance for the insular areas."
Interior Department,Interior Department,"The Department of the Interior protects and provides access to our Nation's natural and cultural heritage and honors our trust responsibilities to tribes and our commitments to island communities. The Department of the Interior was created by act of March 3, 1849 (43 U.S.C. 1451), which transferred to it the General Land Office, the Office of Indian Affairs, the Pension Office, and the Patent Office. It was reorganized by Reorganization Plan No. 3 of 1950, as amended (5 U.S.C. app.).
    The Department manages the Nation's public lands and minerals, national parks, national wildlife refuges, and western water resources and upholds Federal trust responsibilities to Indian tribes and Alaskan natives. It is also responsible for migratory wildlife conservation; historic preservation; endangered species conservation; surface-mined lands protection and restoration; mapping geological, hydrological, and biological science for the Nation; and for financial and technical assistance for the insular areas."
Interior Department,Interior Department,"The Department of the Interior protects and provides access to our Nation's natural and cultural heritage and honors our trust responsibilities to tribes and our commitments to island communities. The Department of the Interior was created by act of March 3, 1849 (43 U.S.C. 1451), which transferred to it the General Land Office, the Office of Indian Affairs, the Pension Office, and the Patent Office. It was reorganized by Reorganization Plan No. 3 of 1950, as amended (5 U.S.C. app.).
    The Department manages the Nation's public lands and minerals, national parks, national wildlife refuges, and western water resources and upholds Federal trust responsibilities to Indian tribes and Alaskan natives. It is also responsible for migratory wildlife conservation; historic preservation; endangered species conservation; surface-mined lands protection and restoration; mapping geological, hydrological, and biological science for the Nation; and for financial and technical assistance for the insular areas."
Interior Department,Interior Department,"The Department of the Interior protects and provides access to our Nation's natural and cultural heritage and honors our trust responsibilities to tribes and our commitments to island communities. The Department of the Interior was created by act of March 3, 1849 (43 U.S.C. 1451), which transferred to it the General Land Office, the Office of Indian Affairs, the Pension Office, and the Patent Office. It was reorganized by Reorganization Plan No. 3 of 1950, as amended (5 U.S.C. app.).
    The Department manages the Nation's public lands and minerals, national parks, national wildlife refuges, and western water resources and upholds Federal trust responsibilities to Indian tribes and Alaskan natives. It is also responsible for migratory wildlife conservation; historic preservation; endangered species conservation; surface-mined lands protection and restoration; mapping geological, hydrological, and biological science for the Nation; and for financial and technical assistance for the insular areas."
Interior Department,Interior Department,"The Department of the Interior protects and provides access to our Nation's natural and cultural heritage and honors our trust responsibilities to tribes and our commitments to island communities. The Department of the Interior was created by act of March 3, 1849 (43 U.S.C. 1451), which transferred to it the General Land Office, the Office of Indian Affairs, the Pension Office, and the Patent Office. It was reorganized by Reorganization Plan No. 3 of 1950, as amended (5 U.S.C. app.)."
Interior Department,Interior Department,"The Department of the Interior protects and provides access to our Nation's natural and cultural heritage and honors our trust responsibilities to tribes and our commitments to island communities. The Department of the Interior was created by act of March 3, 1849 (43 U.S.C. 1451), which transferred to it the General Land Office, the Office of Indian Affairs, the Pension Office, and the Patent Office. It was reorganized by Reorganization Plan No. 3 of 1950, as amended (5 U.S.C. app.).
    The Department manages the Nation's public lands and minerals, national parks, national wildlife refuges, and western water resources and upholds Federal trust responsibilities to Indian tribes and Alaskan natives. It is also responsible for migratory wildlife conservation; historic preservation; endangered species conservation; surface-mined lands protection and restoration; mapping geological, hydrological, and biological science for the Nation; and for financial and technical assistance for the insular areas."
Interior Department,Interior Department,"The Department of the Interior protects and provides access to our Nation's natural and cultural heritage and honors our trust responsibilities to tribes and our commitments to island communities. The Department of the Interior was created by act of March 3, 1849 (43 U.S.C. 1451), which transferred to it the General Land Office, the Office of Indian Affairs, the Pension Office, and the Patent Office. It was reorganized by Reorganization Plan No. 3 of 1950, as amended (5 U.S.C. app.).
    The Department manages the Nation's public lands and minerals, national parks, national wildlife refuges, and western water resources and upholds Federal trust responsibilities to Indian tribes and Alaskan natives. It is also responsible for migratory wildlife conservation; historic preservation; endangered species conservation; surface-mined lands protection and restoration; mapping geological, hydrological, and biological science for the Nation; and for financial and technical assistance for the insular areas."
Interior Department,Interior Department,"The Department of the Interior protects and provides access to our Nation's natural and cultural heritage and honors our trust responsibilities to tribes and our commitments to island communities. The Department of the Interior was created by act of March 3, 1849 (43 U.S.C. 1451), which transferred to it the General Land Office, the Office of Indian Affairs, the Pension Office, and the Patent Office. It was reorganized by Reorganization Plan No. 3 of 1950, as amended (5 U.S.C. app.).
    The Department manages the Nation's public lands and minerals, national parks, national wildlife refuges, and western water resources and upholds Federal trust responsibilities to Indian tribes and Alaskan natives. It is also responsible for migratory wildlife conservation; historic preservation; endangered species conservation; surface-mined lands protection and restoration; mapping geological, hydrological, and biological science for the Nation; and for financial and technical assistance for the insular areas."
Internal Revenue Service,Treasury Department,"The Department of the Interior protects and provides access to our Nation's natural and cultural heritage and honors our trust responsibilities to tribes and our commitments to island communities. The Department of the Interior was created by act of March 3, 1849 (43 U.S.C. 1451), which transferred to it the General Land Office, the Office of Indian Affairs, the Pension Office, and the Patent Office. It was reorganized by Reorganization Plan No. 3 of 1950, as amended (5 U.S.C. app.).
    The Department manages the Nation's public lands and minerals, national parks, national wildlife refuges, and western water resources and upholds Federal trust responsibilities to Indian tribes and Alaskan natives. It is also responsible for migratory wildlife conservation; historic preservation; endangered species conservation; surface-mined lands protection and restoration; mapping geological, hydrological, and biological science for the Nation; and for financial and technical assistance for the insular areas."
"International Boundary and Water Commission, United States and Mexico",,
International Broadcasting Board,,"The U.S. Section of the International Boundary and Water Commission (USIBWC), is an agency of the Federal Government and the U.S. component of the International Boundary and Water Commission (IBWC), which applies the boundary and water treaties of the United States and Mexico and settles differences that may arise in their application."
International Cultural and Trade Center Commission,,
International Development Cooperation Agency,Agency for International Development,
International Investment Office,Treasury Department,
International Joint Commission-United States and Canada,,
International OrganizationsEmployees Loyalty Board,,
International Trade Administration,Commerce Department,"The International Trade Administration (ITA) was established on January 
2, 1980, by the Secretary of Commerce to promote world trade and to strengthen the international trade and investment position of the United States.
ITA is headed by the Under Secretary for International Trade, who coordinates all issues concerning trade promotion, international commercial policy, market access, and trade law enforcement. The 
Administration is responsible for nonagricultural trade operations of the U.S. Government and supports the trade policy negotiation efforts of the U.S. Trade Representative."
International Trade Administration,Commerce Department,"The International Trade Administration (ITA) was established on January 
2, 1980, by the Secretary of Commerce to promote world trade and to strengthen the international trade and investment position of the United States.
ITA is headed by the Under Secretary for International Trade, who coordinates all issues concerning trade promotion, international commercial policy, market access, and trade law enforcement. The 
Administration is responsible for nonagricultural trade operations of the U.S. Government and supports the trade policy negotiation efforts of the U.S. Trade Representative."
International Trade Commission,,"The International Trade Administration (ITA) was established on January 
2, 1980, by the Secretary of Commerce to promote world trade and to strengthen the international trade and investment position of the United States.
ITA is headed by the Under Secretary for International Trade, who coordinates all issues concerning trade promotion, international commercial policy, market access, and trade law enforcement. The 
Administration is responsible for nonagricultural trade operations of the U.S. Government and supports the trade policy negotiation efforts of the U.S. Trade Representative."
Interstate Commerce Commission,,"The ICC, the first regulatory commission in U.S. history, was established as a result of mounting public indignation in the 1880s against railroad malpractices and abuses.
The ICC's jurisdiction was gradually extended beyond railroads to all common carriers except airplanes by 1940. Its enforcement powers to set rates were also progressively extended, through statute and broadened Supreme Court interpretations of the commerce clause of the Constitution, as were its investigative powers for determining fair rates of return on which to base rates. In addition, the ICC was given the task of consolidating railroad systems and managing labor disputes in interstate transport. In the 1950s and 60s the ICC enforced U.S. Supreme Court rulings that required the desegregation of passenger terminal facilities.
The ICC's safety functions were transferred to the Depatment of Transportation when that department was created in 1966. The ICC retained its rate-making and regulatory functions. However, in consonance with the deregulatory movement, the ICC's powers over rates and routes in rails and trucking were curtailed in 1980 by the Staggers Rail Act and Motor Carriers Act. Most ICC control over interstate trucking was abandoned in 1994, and the agency was terminated at the end of 1995. Many of its remaining functions were transferred to the new National Surface Transportation Board."
James Madison Memorial Fellowship Foundation,,
Japan-United States Friendship Commission,,
Joint Board for Enrollment of Actuaries,,
Judicial Conference of the United States,,"The Conference of Senior Circuit Judges was created by Congress in 1922, to serve as the principal policy making body concerned with the administration of the U.S. Courts. In 1948, Congress enacted section 331 of title 28, United States Code, changing the name to the Judicial Conference of the United States. District judges were formally added to the Conference in 1957. 
As in 1922, the fundamental purpose of the Judicial Conference today is to make policy with regard to the administration of the U.S. courts. Section 331 of title 28 specifically provides that the Judicial Conference shall: 
(1) Make a comprehensive survey of the conditions of business in the courts of the United States; 
(2) Prepare plans for the assignment of judges to or from courts of appeals or district courts, where necessary; 
(3) Submit suggestions to the various courts in the interest of promoting uniformity of management procedures and the expeditious conduct of court business; 
(4) Exercise authority provided in chapter 16 of title 28 United States Codes for the review of circuit council conduct and disability orders filed under that chapter; and 
(5) Carry on a continuous study of the operation and effect of the general rules of practice and procedure in use within the federal courts, as prescribed by the Supreme Court pursuant to law. 
The Judicial Conference also supervises the Director of the Administrative Office of the U.S. Courts in the performance of his duties as the administrat+D439ive officer of the courts of the United States under 28 U.S.C. § 604. In addition, certain statutes authorize the Judicial Conference to act in a variety of specific areas dealing with the administration of the courts.
[http://www.uscourts.gov/FederalCourts/JudicialConference.aspx]"
Judicial Review Commission on Foreign Asset Control,,
Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
  
  The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
  
  The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
  
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
  
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
  
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
  
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
  
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
Labor Department,Labor Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
  
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
Labor Department,Labor Department,
Labor Department,Labor Department,
Labor Department (Office of the Secretary),Labor Department,
Labor Statistics Bureau,Labor Department,
Labor-Management Relations and Cooperative Programs Bureau,Labor Department,
Labor-Management Standards Office,Labor Department,
Land Management Bureau,Interior Department,"The Bureau of Land Management was established July 16, 1946, by the consolidation of the General Land Office (created in 1812) and the Grazing Service (formed in 1934).
The Bureau manages more land--256 million surface acres--than any other Federal Government agency. Most of this public land is located in 12 western States, including Alaska. There are also small, scattered parcels in States east of the Mississippi River. The Bureau also administers more than 700 million acres of subsurface mineral estate throughout the Nation. These public lands make up about 13 percent of the total land surface of the United States and more than 40 percent of all land managed by the Federal Government. The Bureau preserves open space in the fast-growing, fast-changing West by managing the public lands for multiple uses and by conserving resources so that current and future generations may use and enjoy them."
Legal Services Corporation,,
Library of Congress,,"The Library of Congress is the national library of the United States, offering diverse materials for research including the world's most extensive collections in many areas such as American history, music, and law.
The Library of Congress was established by act of April 24, 1800 (2 Stat. 56), appropriating $5,000 ``for the purchase of such books as may be necessary for the use of Congress . . . .'' The Library's scope of responsibility has been widened by subsequent legislation (2 U.S.C. 131-168d). The Librarian, appointed by the President with the advice and consent of the Senate, directs the Library."
Local Television Loan Guarantee Board,,"The Local Television Loan Guarantee Board was established on December 21, 2000 under the Federal Funding Act for Fiscal Year 2001 (P.L. 106-553)  Under the provisions of the act, the Board was authorized to guarantee loans to facilitate access, on a technologically neutral basis, to signals of local television stations for households located in non-served areas or underserved areas. 
The Board is authorized to approve Guarantees up to 80 percent of the principal amount of up to $1.25 billion in Loans. The Board's authority to guarantee Loans under the Program expires on the earlier of the date the Secretary of Agriculture determines that at least 75 percent of Designated Market Areas, other than the top 40 Designated Market Areas, have access to Local Television Broadcast Signals for virtually all households or December 31, 2006."
Lower Mississippi Delta Development Commission,,
Management and Budget Office,,"The Office of Management and Budget evaluates, formulates, and coordinates management procedures and program objectives within and among Federal departments and agencies. It also controls the administration of the Federal budget, while routinely providing the President with recommendations regarding budget proposals and relevant legislative enactments.
The Office of Management and Budget (OMB), formerly the Bureau of the Budget, was established in the Executive Office of the President pursuant to Reorganization Plan No. 1 of 1939 (5 U.S.C. app.)."
Management and Budget Office,,"The Office of Management and Budget evaluates, formulates, and coordinates management procedures and program objectives within and among Federal departments and agencies. It also controls the administration of the Federal budget, while routinely providing the President with recommendations regarding budget proposals and relevant legislative enactments.
The Office of Management and Budget (OMB), formerly the Bureau of the Budget, was established in the Executive Office of the President pursuant to Reorganization Plan No. 1 of 1939 (5 U.S.C. app.)."
Marine Mammal Commission,,"The Office of Management and Budget evaluates, formulates, and coordinates management procedures and program objectives within and among Federal departments and agencies. It also controls the administration of the Federal budget, while routinely providing the President with recommendations regarding budget proposals and relevant legislative enactments.
The Office of Management and Budget (OMB), formerly the Bureau of the Budget, was established in the Executive Office of the President pursuant to Reorganization Plan No. 1 of 1939 (5 U.S.C. app.)."
