active,cfr_citation,parent_agency_name,agency_name,description
1,02 CFR 2800-2899,Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
 
 The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
1,05 CFR 3800-3899,Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
 
 The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
1,"28 CFR 0-199, 1100-1199",Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
 
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
1,31 CFR 900-904,Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
 
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
1,40 CFR 1400-1499,Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
 
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
1,41 CFR 128,Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
 
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
1,48 CFR 2800-2899,Justice Department,Justice Department,"The Department of Justice serves as counsel for its citizens. It represents them in enforcing the law in the public interest. Through its thousands of lawyers, investigators, and agents, the Department plays the key role in protection against criminals and subversion, ensuring healthy business competition, safeguarding the consumer, and enforcing drug, immigration, and naturalization laws.
 
The Department of Justice was established by act of June 22, 1870 (28 U.S.C. 501, 503, 509 note), with the Attorney General as its head. The affairs and activities of the Department of Justice are generally directed by the Attorney General."
1,05 CFR 5200-5299,Labor Department,Labor Department,"The Department of Labor (DOL) was created by act of March 4, 1913 (29 U.S.C. 551). A Bureau of Labor was first created by Congress by act of June 24, 1884, in the Interior Department. The Bureau of Labor later became independent as a Department of Labor without executive rank by act of June 13, 1888. It again returned to bureau status in the Department of Commerce and Labor, which was created by act of February 14, 1903 (15 U.S.C. 1501; 29 U.S.C. 1 note).
The Department of Labor fosters and promotes the welfare of the job seekers, wage earners, and retirees of the United States, by improving their working conditions, advancing their opportunities for profitable employment, protecting their retirement and health care benefits, helping employers find workers, strengthening free collective bargaining, and tracking changes in employment, prices, and other national economic measurements. In carrying out this mission, the Department administers a variety of Federal labor laws including those that guarantee workers' rights to safe and healthful working conditions; a minimum hourly wage and overtime pay; freedom from employment discrimination; unemployment insurance; and other income support."
1,41 CFR 50,Labor Department,Labor Department,"The Department of Labor (DOL) was created by act of March 4, 1913 (29 U.S.C. 551). A Bureau of Labor was first created by Congress by act of June 24, 1884, in the Interior Department. The Bureau of Labor later became independent as a Department of Labor without executive rank by act of June 13, 1888. It again returned to bureau status in the Department of Commerce and Labor, which was created by act of February 14, 1903 (15 U.S.C. 1501; 29 U.S.C. 1 note).
The Department of Labor fosters and promotes the welfare of the job seekers, wage earners, and retirees of the United States, by improving their working conditions, advancing their opportunities for profitable employment, protecting their retirement and health care benefits, helping employers find workers, strengthening free collective bargaining, and tracking changes in employment, prices, and other national economic measurements. In carrying out this mission, the Department administers a variety of Federal labor laws including those that guarantee workers' rights to safe and healthful working conditions; a minimum hourly wage and overtime pay; freedom from employment discrimination; unemployment insurance; and other income support."
1,48 CFR 2900-2999,Labor Department,Labor Department,"The Department of Labor (DOL) was created by act of March 4, 1913 (29 U.S.C. 551). A Bureau of Labor was first created by Congress by act of June 24, 1884, in the Interior Department. The Bureau of Labor later became independent as a Department of Labor without executive rank by act of June 13, 1888. It again returned to bureau status in the Department of Commerce and Labor, which was created by act of February 14, 1903 (15 U.S.C. 1501; 29 U.S.C. 1 note).
The Department of Labor fosters and promotes the welfare of the job seekers, wage earners, and retirees of the United States, by improving their working conditions, advancing their opportunities for profitable employment, protecting their retirement and health care benefits, helping employers find workers, strengthening free collective bargaining, and tracking changes in employment, prices, and other national economic measurements. In carrying out this mission, the Department administers a variety of Federal labor laws including those that guarantee workers' rights to safe and healthful working conditions; a minimum hourly wage and overtime pay; freedom from employment discrimination; unemployment insurance; and other income support."
1,29 CFR 0-99,Labor Department,Labor Department,"The Department of Labor (DOL) was created by act of March 4, 1913 (29 U.S.C. 551). A Bureau of Labor was first created by Congress by act of June 24, 1884, in the Interior Department. The Bureau of Labor later became independent as a Department of Labor without executive rank by act of June 13, 1888. It again returned to bureau status in the Department of Commerce and Labor, which was created by act of February 14, 1903 (15 U.S.C. 1501; 29 U.S.C. 1 note).
The Department of Labor fosters and promotes the welfare of the job seekers, wage earners, and retirees of the United States, by improving their working conditions, advancing their opportunities for profitable employment, protecting their retirement and health care benefits, helping employers find workers, strengthening free collective bargaining, and tracking changes in employment, prices, and other national economic measurements. In carrying out this mission, the Department administers a variety of Federal labor laws including those that guarantee workers' rights to safe and healthful working conditions; a minimum hourly wage and overtime pay; freedom from employment discrimination; unemployment insurance; and other income support."
1,,Labor Department,Labor Statistics Bureau,"The Bureau of Labor Statistics (BLS) of the U.S. Department of Labor is the principal Federal agency responsible for measuring labor market activity, working conditions, and price changes in the economy. Our mission is to collect, analyze, and disseminate essential economic information to support public and private decision-making. As an independent statistical agency, BLS serves its diverse user communities by providing products and services that are objective, timely, accurate, and relevant. [http://www.bls.gov/bls/blsmissn.htm]"
1,,Labor Department,Labor-Management Relations and Cooperative Programs Bureau,"
Labor-Management Relations Services, Office of Established by Order 3-84 of May 3, 1984 of the Secretary of Labor. Renamed Bureau of Labor-Management Relations and Cooperative Programs by Secretarial Order 7-84 of Sept. 28, 1984 (49 FR 38374). Appears to have been renamed Office of Labor-Management Standards in Federal Register rule published on June 28, 1985 (50 FR 26704). "
1,"29 CFR 200-299, 400-499",Labor Department,Labor-Management Standards Office,"The Office of Labor-Management Standards conducts criminal and civil investigations to safeguard the financial integrity of unions and to ensure union democracy, and conducts investigative audits of labor unions to uncover and remedy criminal and civil violations of the Labor-Management Reporting and Disclosure Act and related statutes."
1,43 CFR 1000-9999,Interior Department,Land Management Bureau,"The Bureau of Land Management was established July 16, 1946, by the consolidation of the General Land Office (created in 1812) and the Grazing Service (formed in 1934).
The Bureau manages more land--256 million surface acres--than any other Federal Government agency. Most of this public land is located in 12 western States, including Alaska. There are also small, scattered parcels in States east of the Mississippi River. The Bureau also administers more than 700 million acres of subsurface mineral estate throughout the Nation. These public lands make up about 13 percent of the total land surface of the United States and more than 40 percent of all land managed by the Federal Government. The Bureau preserves open space in the fast-growing, fast-changing West by managing the public lands for multiple uses and by conserving resources so that current and future generations may use and enjoy them."
1,45 CFR 1600-1699,,Legal Services Corporation,"The Legal Services Corporation (LSC) is a private, nonprofit corporation established by the Legal Services Act of 1974, as amended (42 U.S.C. 2996), to seek to ensure equal access to justice under the law for all Americans. LSC is headed by an 11-member Board of Directors, appointed by the President and confirmed by the Senate. By law, the Board is bipartisan; no more than six members may be of the same political party. LSC is funded through congressional appropriations and provides legal services through grants to independent local programs selected through a system of competition. 
In 2005, LSC funded 138 programs. Together they serve every county and congressional district in the Nation, as well as the U.S. territories. Special service areas also address the needs of Native Americans and migrant farmworkers."
1,36 CFR 700-799,,Library of Congress,"The Library of Congress is the national library of the United States, offering diverse materials for research including the world's most extensive collections in many areas such as American history, music, and law.
The Library of Congress was established by act of April 24, 1800 (2 Stat. 56), appropriating $5,000 ''for the purchase of such books as may be necessary for the use of Congress . . . .'' The Library's scope of responsibility has been widened by subsequent legislation (2 U.S.C. 131-168d). The Librarian, appointed by the President with the advice and consent of the Senate, directs the Library."
1,07 CFR 2200-2299,,Local Television Loan Guarantee Board,"The Local Television Loan Guarantee Board was established on December 21, 2000 under the Federal Funding Act for Fiscal Year 2001 (P.L. 106-553) Under the provisions of the act, the Board was authorized to guarantee loans to facilitate access, on a technologically neutral basis, to signals of local television stations for households located in non-served areas or underserved areas. 
The Board is authorized to approve Guarantees up to 80 percent of the principal amount of up to $1.25 billion in Loans. The Board's authority to guarantee Loans under the Program expires on the earlier of the date the Secretary of Agriculture determines that at least 75 percent of Designated Market Areas, other than the top 40 Designated Market Areas, have access to Local Television Broadcast Signals for virtually all households or December 31, 2006."
1,,,Lower Mississippi Delta Development Commission,
1,"02 CFR (1, 100-180, 200-299)",,Management and Budget Office,"The Office of Management and Budget evaluates, formulates, and coordinates management procedures and program objectives within and among Federal departments and agencies. It also controls the administration of the Federal budget, while routinely providing the President with recommendations regarding budget proposals and relevant legislative enactments.
The Office of Management and Budget (OMB), formerly the Bureau of the Budget, was established in the Executive Office of the President pursuant to Reorganization Plan No. 1 of 1939 (5 U.S.C. app.)."
1,"05 CFR 1300-1399, 8700-8799",,Management and Budget Office,"The Office of Management and Budget evaluates, formulates, and coordinates management procedures and program objectives within and among Federal departments and agencies. It also controls the administration of the Federal budget, while routinely providing the President with recommendations regarding budget proposals and relevant legislative enactments.
The Office of Management and Budget (OMB), formerly the Bureau of the Budget, was established in the Executive Office of the President pursuant to Reorganization Plan No. 1 of 1939 (5 U.S.C. app.)."
1,50 CFR 500-599,,Marine Mammal Commission,"The Office of Management and Budget evaluates, formulates, and coordinates management procedures and program objectives within and among Federal departments and agencies. It also controls the administration of the Federal budget, while routinely providing the President with recommendations regarding budget proposals and relevant legislative enactments.
The Office of Management and Budget (OMB), formerly the Bureau of the Budget, was established in the Executive Office of the President pursuant to Reorganization Plan No. 1 of 1939 (5 U.S.C. app.)."
1,46 CFR 200-399,Transportation Department,Maritime Administration,"The Maritime Administration was established by Reorganization Plan No. 21 of 1950 (5 U.S.C. app.). The Maritime Act of 1981 (46 U.S.C. 1601) transferred the Maritime Administration to the Department of Transportation. The Administration manages programs to aid in the development, promotion, and operation of the U.S. merchant marine. It is also charged with organizing and directing emergency merchant ship operations.
The Maritime Administration administers subsidy programs to pay the difference between certain costs of operating ships under the U.S. flag and foreign competitive flags on essential services, and the difference between the costs of constructing ships in U.S. and foreign shipyards. It provides financing guarantees for the construction, reconstruction, and reconditioning of ships; and enters into capital construction fund agreements that grant tax deferrals on moneys to be used for the acquisition, construction, or reconstruction of ships.
The Administration constructs or supervises the construction of merchant-type ships for the Federal Government. It helps industry generate increased business for U.S. ships and conducts programs to develop ports, facilities, and intermodal transport, and to promote domestic shipping.  
It conducts program and technical studies and administers a war risk insurance program that insures operators and seamen against losses caused by hostile action if domestic commercial insurance is not available.
Under emergency conditions the Maritime Administration charters Government-owned ships to U.S. operators, requisitions or procures ships owned by U.S. citizens, and allocates them to meet defense needs.
It maintains a national defense reserve fleet of Government-owned ships that it operates through ship managers and general agents when required in national defense interests. An element of this activity is the Ready Reserve force consisting of a number of ships available for quick-response activation.
The Administration regulates sales to aliens and transfers to foreign registry of ships that are fully or partially owned by U.S. citizens. It also disposes of Government-owned ships found nonessential for national defense.
The Administration operates the U.S. Merchant Marine Academy, Kings Point, NY, where young people are trained to become merchant marine officers, and conducts training in shipboard firefighting at Toledo, OH. It also administers a Federal assistance program for the maritime academies operated by the States of CA, ME, MA, MI, NY, and TX."
1,,,"Martin Luther King, Jr. Federal Holiday Commission",
1,,,Medicare Payment Advisory Commission,"The Medicare Payment Advisory Commission (MedPAC) is an independent Congressional agency established by the Balanced Budget Act of 1997 (P.L. 105-33) to advise the U.S. Congress on issues affecting the Medicare program. The Commission's statutory mandate is quite broad: In addition to advising the Congress on payments to private health plans participating in Medicare and providers in Medicare's traditional fee-for-service program, MedPAC is also tasked with analyzing access to care, quality of care, and other issues affecting Medicare."
1,"05 CFR 1200-1299, 7400-7499",,Merit Systems Protection Board,"The Merit Systems Protection Board protects the integrity of the Federal personnel merit systems and the rights of Federal employees. In overseeing the personnel practices of the Federal Government, the Board conducts special studies of the merit systems, hears and decides charges of wrongdoing and employee appeals of adverse agency actions, and orders corrective and disciplinary actions when appropriate.
The Merit Systems Protection Board is a successor agency to the United States Civil Service Commission, established by act of January 16, 1883 (22 Stat. 403). Reorganization Plan No. 2 of 1978 (5 U.S.C. app.) redesignated part of the Commission as the Merit Systems Protection Board."
1,32 CFR 2700-2799,,Micronesian Status Negotiations Office,
1,22 CFR 1300-1399,,Millennium Challenge Corporation,"The Millennium Challenge Corporation was created under the Millennium Challenge Act of 2003 (Public Law 108-199, Div. D, Title IV). MCC is managed by a chief executive officer, who is part of the nine-member Board of Directors. The Secretary of State, the Secretary of the Treasury, the U.S. Trade Representative, and the USAID Administrator serve on the board along with four private sector representatives.
MCC forms partnerships with poor countries committed to good governance, economic freedom and investments in their citizens and provides these well-performing countries with large-scale grants to fund country-led solutions for reducing poverty through sustainable economic growth. MCC grants complement other U.S. and international development programs. 
The aggressive implementation of compacts and threshold programs by the Millennium Challenge Corporation promotes growth opportunities, opens markets, raises the standard of living, and creates a more prosperous future for some of the world's poorest people. [http://www.mcc.gov/mcc/about/index.shtml]"
1,30 CFR 1-199,Labor Department,Mine Safety and Health Administration,"The Mine Safety and Health Administration (MSHA) is responsible for safety and health in the Nation's mines. MSHA develops and promulgates mandatory safety and health standards, ensures compliance with such standards, assesses civil penalties for violations, and investigates accidents. It cooperates with and provides assistance to the States in the development of effective State mine safety and health programs; improves and expands training programs in cooperation with the States and the mining industry; and contributes to the improvement and expansion of mine safety and health research and development. All of these activities are aimed at preventing and reducing mine accidents and occupational diseases in the mining industry."
1,30 CFR 200-299,Interior Department,Minerals Management Service,"The Minerals Management Service was established on January 19, 1982, by Secretarial order. The Service assesses the nature, extent, recoverability, and value of leasable minerals on the Outer Continental Shelf. It ensures the orderly and timely inventory and development and the efficient recovery of mineral resources; encourages utilization of the best available and safest technology; and safeguards against fraud, waste, and abuse."
1,,Interior Department,Mines Bureau,"The Minerals Management Service was established on January 19, 1982, by Secretarial order. The Service assesses the nature, extent, recoverability, and value of leasable minerals on the Outer Continental Shelf. It ensures the orderly and timely inventory and development and the efficient recovery of mineral resources; encourages utilization of the best available and safest technology; and safeguards against fraud, waste, and abuse."
1,15 CFR 1400-1499,Commerce Department,Minority Business Development Agency,"The Minority Business Development Agency was established by Executive order in 1969. The Agency develops and coordinates a national program for minority business enterprise.
The Agency was created to assist minority businesses in achieving effective and equitable participation in the American free enterprise system and in overcoming social and economic disadvantages that have limited their participation in the past. The Agency provides national policies and leadership in forming and strengthening a partnership of business, industry, and government with the Nation's minority businesses.
Business development services are provided to the minority business community through three vehicles: the minority business opportunity committees which disseminate information on business opportunities; the minority business development centers that provide management and technical assistance and other business development services; and electronic commerce which includes a Web page on the Internet that will show how to start a business and use the service to electronically match business with contract opportunities.
The Agency promotes and coordinates the efforts of other Federal agencies in assisting or providing market opportunities for minority business. It coordinates opportunities for minority firms in the private sector. Through such public and private cooperative activities, the Agency promotes the participation of Federal, State, and local governments, and business and industry in directing resources for the development of strong minority businesses."
1,,,Minority Economic Impact Office,
1,,,Mississippi River Commission,
1,31 CFR 51-199,Treasury Department,Monetary Offices,
1,,,Monitored Retrievable Storage Review Commission,
1,36 CFR 1600,,Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation,"Established by the U.S. Congress in 1992, the Udall Foundation honors Congressman Morris King Udall's thirty-year legacy of public service. As set forth in the founding legislation, the purposes of the Foundation are to: 
Increase the awareness of the importance of, and promote the benefit and enjoyment of, the nation's natural resources; 
Foster a greater recognition and understanding of the role of the environment, public lands and resources in the development of the United States; 
Identify critical environmental issues;
Develop resources to train professionals properly in environmental and related fields;
Provide educational outreach regarding environmental policy; 
Develop resources to train Native American and Alaska Native professionals in health care and public policy;
Through the U.S. Institute for Environmental Conflict Resolution, provide assessment, mediation, and other related services to resolve environmental disputes involving federal agencies
In 2009, Congress enacted legislation to add Stewart Udall into the foundation, renaming it the Morris K. Udall and Stewart L. Udall Foundation. [http://www.udall.gov/AboutUs/AboutUs.aspx]"
1,,Energy Department,National Nuclear Security Administration,
1,,,National Acid Precipitation Assessment Program,
1,,,National Advisory Commission on Law Enforcement,
1,,,National Advisory Council on the Public Service,
1,02 CFR 1800-1899,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"The National Aeronautics and Space Administration (NASA) was established by the National Aeronautics and Space Act of 1958, as amended (42 U.S.C. 2451 et seq.). The mission of the National Aeronautics and Space Administration is to pioneer the future in space exploration, scientific discovery, and aeronautics research."
1,05 CFR 6900-6999,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"The National Aeronautics and Space Administration (NASA) was established by the National Aeronautics and Space Act of 1958, as amended (42 U.S.C. 2451 et seq.). The mission of the National Aeronautics and Space Administration is to pioneer the future in space exploration, scientific discovery, and aeronautics research."
1,14 CFR 1200-1299,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"The National Aeronautics and Space Administration (NASA) was established by the National Aeronautics and Space Act of 1958, as amended (42 U.S.C. 2451 et seq.). The mission of the National Aeronautics and Space Administration is to pioneer the future in space exploration, scientific discovery, and aeronautics research."
1,48 CFR 1800-1899,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"The National Aeronautics and Space Administration (NASA) was established by the National Aeronautics and Space Act of 1958, as amended (42 U.S.C. 2451 et seq.). The mission of the National Aeronautics and Space Administration is to pioneer the future in space exploration, scientific discovery, and aeronautics research."
0,07 CFR XLI,Agriculture Department,National Agricultural Library,"The National Agricultural Library (NAL), part of the Agricultural Research Service, is the primary resource in the United States for information about food, agriculture, and natural resources, and serves as an electronic gateway to a widening array of scientific literature, printed text, and agricultural images. NAL serves USDA and a broad customer base including policymakers, agricultural specialists, research scientists, and the general public. NAL works with other agricultural libraries and institutions to advance open and democratic access to information about agriculture and the Nation's agricultural knowledge."
1,07 CFR3600-3699,Agriculture Department,National Agricultural Statistics Service,"The National Agricultural Statistics Service (NASS) prepares estimates and reports on production, supply, price, chemical use, and other items necessary for the orderly operation of the U.S. agricultural economy.
The reports include statistics on field crops, fruits and vegetables, dairy, cattle, hogs, sheep, poultry, aquaculture, and related commodities or processed products. Other estimates concern farm numbers, farm production expenditures, agricultural chemical use, prices received by farmers for products sold, prices paid for commodities and services, indexes of prices received and paid, parity prices, farm employment, and farm wage rates.
The Service prepares these estimates through a complex system of sample surveys of producers, processors, buyers, and others associated with agriculture. Information is gathered by mail, telephone, personal interviews, and field visits.
NASS is responsible for conducting the Census of Agriculture. The Census of Agriculture is taken every 5 years and provides comprehensive data on the agricultural economy down to the county level. Periodic reports are also issued on aquacultures, irrigation, and horticultural specialties.
The Service performs reimbursable survey work and statistical consulting services for other Federal and State agencies and provides technical assistance for developing agricultural data systems in other countries."
1,02 CFR 2600-2699,National Archives and Records Administration,National Archives and Records Administration,"The National Archives and Records Administration (NARA) is the successor agency to the National Archives Establishment, which was created in 1934 and subsequently incorporated into the General Services Administration as the National Archives and Records Service in 1949. NARA was established as an independent agency in the executive branch of the Government by act of October 19, 1984 (44 U.S.C. 2101 et seq.), effective April 1, 1985.
NARA safeguards and preserves the records of our Government, ensuring that the people can discover, use, and learn from this documentary heritage; establishes policies and procedures for managing U.S. Government records; manages the Presidential Libraries system; and publishes the laws, regulations, and Presidential and other public documents."
1,05 CFR 7600-7699,National Archives and Records Administration,National Archives and Records Administration,"The National Archives and Records Administration (NARA) is the successor agency to the National Archives Establishment, which was created in 1934 and subsequently incorporated into the General Services Administration as the National Archives and Records Service in 1949. NARA was established as an independent agency in the executive branch of the Government by act of October 19, 1984 (44 U.S.C. 2101 et seq.), effective April 1, 1985.
NARA safeguards and preserves the records of our Government, ensuring that the people can discover, use, and learn from this documentary heritage; establishes policies and procedures for managing U.S. Government records; manages the Presidential Libraries system; and publishes the laws, regulations, and Presidential and other public documents."
1,36 CFR 1200-1299,National Archives and Records Administration,National Archives and Records Administration,"The National Archives and Records Administration (NARA) is the successor agency to the National Archives Establishment, which was created in 1934 and subsequently incorporated into the General Services Administration as the National Archives and Records Service in 1949. NARA was established as an independent agency in the executive branch of the Government by act of October 19, 1984 (44 U.S.C. 2101 et seq.), effective April 1, 1985.
NARA safeguards and preserves the records of our Government, ensuring that the people can discover, use, and learn from this documentary heritage; establishes policies and procedures for managing U.S. Government records; manages the Presidential Libraries system; and publishes the laws, regulations, and Presidential and other public documents."
1,,,National Bankruptcy Review Commission,
1,,Interior Department,National Biological Service,
1,,,National Bipartisan Commission on Future of Medicare,
1,01 CFR (400-500),,National Capital Planning Commission,"The National Capital Planning Commission was established as a park planning agency by act of June 6, 1924, as amended (40 U.S.C. 71 et seq.). Two years later its role was expanded to include comprehensive planning. In 1952, under the National Capital Planning Act, the Commission was designated the central planning agency for the Federal and District of Columbia governments.
The National Capital Planning Commission is the central agency for conducting planning and development activities for Federal lands and facilities in the National Capital Region. The region includes the District of Columbia and all land areas within the boundaries of Montgomery and Prince George's Counties in Maryland and Fairfax, Loudoun, Prince William, and Arlington Counties and the city of Alexandria in Virginia."
1,,Interior Department,National Civilian Community Corps,
1,01 CFR (400-500),,National Commission for Employment Policy,
1,,,National Commission on Acquired Immune Deficiency Syndrome,
1,,,"National Commission on American Indian, Alaskan Native and Hawaiian Native Housing",
1,,,National Commission on America's Urban Families,
1,,,National Commission on Children,
1,,,National Commission on Drug-Free Schools,
1,,,"National Commission on Financial Institution Reform, Recovery, and Enforcement",
1,,,National Commission on Fiscal Responsibility and Reform,
1,,,National Commission on Intermodal Transportation,
1,,,National Commission on Judicial Discipline and Removal,
0,,,National Commission on Libraries and Information Science,
1,,,National Commission on Manufactured Housing,
1,,,National Commission on Migrant Education,
1,,,National Commission on Restructuring the Internal Revenue Service,
1,,,National Commission on Severely Distressed Public Housing,
1,,,National Commission on Terrorist Attacks Upon the United States,
1,,,National Commission on the Cost of Higher Education,
1,,,National Commission To Ensure Strong Competitive Airline Industry,
1,,,National Commission to Prevent Infant Mortality,
1,,Homeland Security Department,National Communications System,
0,,,National Consumer Cooperative Bank,
1,34 CFR 1200-1299,,National Council on Disability,"The National Council on Disability is an independent federal agency and is composed of 15 members appointed by the President, by and with the advice and consent of the Senate. The President selects members of NCD after soliciting recommendations from representatives of organizations representing a broad range of individuals with disabilities; and organizations interested in individuals with disabilities.
NDC provides advice to the President, Congress, and executive branch agencies to promote policies, programs, practices, and procedures that guarantee equal opportunity for all individuals with disabilities, regardless of the nature or severity of the disability and to empower individuals with disabilities to achieve economic self-sufficiency, independent living, and inclusion and integration into all aspects of society. As a policy agency, NCD does not have any services or programs. [http://www.ncd.gov/faqs.htm]"
1,,,National Council on Public Works Improvement,
1,,,National Council on the Handicapped,
1,32 CFR 1800-1899,,National Counterintelligence Center,
1,12 CFR 700-799,,National Credit Union Administration,"The National Credit Union Administration (NCUA) was established by act of March 10, 1970 (12 U.S.C. 1752), and reorganized by act of November 10, 1978 (12 U.S.C. 226), as an independent agency in the executive branch of the Federal Government. It regulates and insures all Federal credit unions and insures State-chartered credit unions that apply and qualify for share insurance.
The National Credit Union Administration is responsible for chartering, insuring, supervising, and examining Federal credit unions and administering the National Credit Union Share Insurance Fund. The Administration also administers the Community Development Revolving Loan Fund and manages the Central Liquidity Facility, a mixed-ownership Government corporation whose purpose is to supply emergency loans to member credit unions."
1,28 CFR 900-999,,National Crime Prevention and Privacy Compact Council,"The National Crime Prevention and Privacy Compact Council was established under the National Crime Prevention and Privacy Compact (Compact) Act of 1998. The Compact provides an infrastructure by which States can exchange criminal records for noncriminal justice purposes according to the laws of the requesting State, and provide reciprocity among the States to share records without charging each other for the information. 
The Compact Council acts as a national independent authority that works in partnership with criminal history record custodians, end users, and policy makers to regulate and facilitate the sharing the complete, accurate, and timely criminal history record information to noncriminal justice users in order to enhance public safety, welfare and security of Society while recognizing the importance of individual privacy rights. 
The goal of the Council and the compact is to make available the most complete and up-to date records possible for noncriminal justice purposes. [http://www.fbi.gov/hq/cjisd/web%20page/cc.htm]"
0,,,National Critical Materials Council,"The National Critical Materials Council was established within Executive Office of the President by act of July 31, 1984 (98 Stat. 1250). The Office was abolished in September 1993 due to lack of funding and functions transferred to the Office of Science and Technology Policy."
1,21 CFR 1400-1499,,National Drug Control Policy Office,"The Office of National Drug Control Policy was established by the National Narcotics Leadership Act of 1988 (21 U.S.C. 1501 et seq.), effective January 29, 1989, reauthorized through the Office of National Drug Control Policy Reauthorization Act of 1988 (21 U.S.C. 1701 et seq.), and again reauthorized through the Office of National Drug Control Policy Reauthorization Act of 2006 (21 U.S.C. 1701 et seq.).
The Office of National Drug Control Policy assists the President in establishing policies, priorities, and objectives in the National Drug Control Strategy. It also provides budget, program, and policy recommendations on the efforts of National Drug Control Program agencies."
1,,,National Economic Commission,
1,,,National Economic Council,
0,,,National Education Goals Panel,
1,02 CFR 3100-3399,,National Foundation on the Arts and the Humanities,"The purpose of the National Foundation on the Arts and the Humanities is to develop and promote a broadly conceived national policy of support for the humanities and the arts in the United States, and for institutions which preserve the cultural heritage of the United States.
The National Foundation on the Arts and the Humanities was created as an independent agency by the National Foundation on the Arts and the Humanities Act of 1965 (20 U.S.C. 951). The Foundation consists of the National Endowment for the Arts, the National Endowment for the Humanities, the Federal Council on the Arts and the Humanities, and the Institute of Museum and Library Services. "
1,05 CFR 6500-6799,,National Foundation on the Arts and the Humanities,"The purpose of the National Foundation on the Arts and the Humanities is to develop and promote a broadly conceived national policy of support for the humanities and the arts in the United States, and for institutions which preserve the cultural heritage of the United States.
The National Foundation on the Arts and the Humanities was created as an independent agency by the National Foundation on the Arts and the Humanities Act of 1965 (20 U.S.C. 951). The Foundation consists of the National Endowment for the Arts, the National Endowment for the Humanities, the Federal Council on the Arts and the Humanities, and the Institute of Museum and Library Services. "
1,"45 CFR 1100-1199, 1700-1799, 2100-2199",,National Foundation on the Arts and the Humanities,"The purpose of the National Foundation on the Arts and the Humanities is to develop and promote a broadly conceived national policy of support for the humanities and the arts in the United States, and for institutions which preserve the cultural heritage of the United States.
The National Foundation on the Arts and the Humanities was created as an independent agency by the National Foundation on the Arts and the Humanities Act of 1965 (20 U.S.C. 951). The Foundation consists of the National Endowment for the Arts, the National Endowment for the Humanities, the Federal Council on the Arts and the Humanities, and the Institute of Museum and Library Services. "
